,,,,present,present,present,present,past,past,past,past,past,past,past,past,past,future,future,future,future,future,future,future,future,future,future,imp,imp,imp,imp,infinitive,,,,
,,,,,,,,first,first,second,second,second,second,third,third,third,first,first,second,second,second,second,third,third,third,third,,,,,,,,,
,,,,singular,singular,plural,plural,singular,plural,singular,singular,plural,plural,singular,singular,plural,singular,plural,singular,singular,plural,plural,singular,singular,plural,plural,singular,singular,plural,plural,,,,,
root,binyan,translation,preposition,male,female,male,female,,,male,female,male,female,male,female,,,,male,female,male,female,male,female,male,female,male,female,male,female,,rule ids,sp rules pos,test,source
אכל,pa'al,eat,את,אוכל,אוכלת,אוכלים,אוכלות,אכלתי,אכלנו,אכלת,אכלת,אכלתם,אכלתן,אכל,אכלה,אכלו,אוכל,נאכל,תאכל,תאכלי,תאכלו,תאכלנה,יאכל,תאכל,יאכלו,תאכלנה,אכול,אכלי,אכלו,אכולנה,לאכול,-1-2-133-1006-,"14,24,27",OK,Duolingo
סבר,hiph'il,explain,"את (something), ל (to)",מסביר,מסבירה,מסבירים,מסבירות,הסברתי,הסברנו,הסברת,הסברת,הסברתם,הסברתן,הסביר,הסבירה,הסבירו,אסביר,נסביר,תסביר,תסבירי,תסבירו,תסברנה,יסביר,תסביר,יסבירו,תסברנה,הסבר,הסבירי,הסבירו,הסברנה,להסביר,-1-4-,,OK,Duolingo
דבר,pi'el,"speak, talk",,מדבר,מדברת,מדברים,מדברות,דיברתי,דיברנו,דיברת,דיברת,דיברתם,דיברתן,דיבר,דיברה,דיברו,אדבר,נדבר,תדבר,תדברי,תדברו,תדברנה,ידבר,תדבר,ידברו,תדברנה,דבר,דברי,דברו,דברנה,לדבר,-1-3-,,OK,Duolingo
ראה,pa'al,see,,רואה,רואה,רואים,רואות,ראיתי,ראינו,ראית,ראית,ראיתם,ראיתן,ראה,ראתה,ראו,אראה,נראה,תראה,תראי,תראו,תראינה,יראה,תראה,יראו,תראינה,ראה,ראי,ראו,ראינה,לראות,-1-2-100-,"2,3,4,5,6,7,8,9,10,12,13,17,18,19,22,23,25,26,27,28",OK,Duolingo
הלך,pa'al,go / walk,,הולך,הולכת,הולכים,הולכות,הלכתי,הלכנו,הלכת,הלכת,הלכתם,הלכתן,הלך,הלכה,הלכו,אלך,נלך,תלך,תלכי,תלכו,תלכנה,ילך,תלך,ילכו,תלכנה,לך,לכי,לכו,לכנה,ללכת,-1-2-1000-,"14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",OK,Duolingo
כתב,pa'al,write,את,כותב,כותבת,כותבים,כותבות,כתבתי,כתבנו,כתבת,כתבת,כתבתם,כתבתן,כתב,כתבה,כתבו,אכתוב,נכתוב,תכתוב,תכתבי,תכתבו,תכתובנה,יכתוב,תכתוב,יכתבו,תכתובנה,כתוב,כתבי,כתבו,כתובנה,לכתוב,-1-2-1008-,"14,15,16,19,20,21,23,24,27",OK,Duolingo
חכה,pi'el,wait,"ל, ש",מחכה,מחכה,מחכים,מחכות,חיכיתי,חיכינו,חיכית,חיכית,חיכיתם,חיכיתן,חיכה,חיכתה,חיכו,אחכה,נחכה,תחכה,תחכי,תחכו,תחכינה,יחכה,תחכה,יחכו,תחכינה,חכה,חכי,חכו,חכינה,לחכות,-1-3-100-108-,"2,3,4,5,6,7,8,9,10,12,13,17,18,19,22,23,25,26,27,28",OK,Duolingo
בוא,pa'al,come,,בא,באה,באים,באות,באתי,באנו,באת,באת,באתם,באתן,בא,באה,באו,אבוא,נבוא,תבוא,תבואי,תבואו,תבואנה,יבוא,תבוא,יבואו,תבואנה,בוא,בואי,בואו,בואנה,לבוא,-1-2-101-,"1,2,3,4,5,6,7,8,9,10,11,12,13,28",OK,Duolingo
אהב,pa'al,love,את,אוהב,אוהבת,אוהבים,אוהבות,אהבתי,אהבנו,אהבת,אהבת,אהבתם,אהבתן,אהב,אהבה,אהבו,אוהב,נאהב,תאהב,תאהבי,תאהבו,תאהבנה,יאהב,תאהב,יאהבו,תאהבנה,אהב,אהבי,אהבו,אהבנה,לאהוב,-1-2-133-,14,OK,Duolingo
שתה,pa'al,drink,,שותה,שותה,שותים,שותות,שתיתי,שתינו,שתית,שתית,שתיתם,שתיתן,שתה,שתתה,שתו,אשתה,נשתה,תשתה,תשתי,תשתו,תשתינה,ישתה,תשתה,ישתו,תשתינה,שתה,שתי,שתו,שתינה,לשתות,-1-2-100-,"2,3,4,5,6,7,8,9,10,12,13,17,18,19,22,23,25,26,27,28",OK,Duolingo
קרא,pa'al,"read, call",את,קורא,קוראת,קוראים,קוראות,קראתי,קראנו,קראת,קראת,קראתם,קראתן,קרא,קראה,קראו,אקרא,נקרא,תקרא,תקראי,תקראו,תקראנה,יקרא,תקרא,יקראו,תקראנה,קרא,קראי,קראו,קראנה,לקרוא,-1-2-,,OK,Duolingo
רצה,pa'al,want,,רוצה,רוצה,רוצים,רוצות,רציתי,רצינו,רצית,רצית,רציתם,רציתן,רצה,רצתה,רצו,ארצה,נרצה,תרצה,תרצי,תרצו,תרצינה,ירצה,תרצה,ירצו,תרצינה,רצה,רצי,רצו,רצינה,לרצות,-1-2-100-,"2,3,4,5,6,7,8,9,10,12,13,17,18,19,22,23,25,26,27,28",OK,Duolingo
בשל,pi'el,cook,,מבשל,מבשלת,מבשלים,מבשלות,בישלתי,בישלנו,בישלת,בישלת,בישלתם,בישלתן,בישל,בישלה,בישלו,אבשל,נבשל,תבשל,תבשלי,תבשלו,תבשלנה,יבשל,תבשל,יבשלו,תבשלנה,בשל,בשלי,בשלו,בשלנה,לבשל,-1-3-,,OK,Duolingo
אפה,pa'al,bake,,אופה,אופה,אופים,אופות,אפיתי,אפינו,אפית,אפית,אפיתם,אפיתן,אפה,אפתה,אפו,אופה,נאפה,תאפה,תאפי,תאפו,תאפינה,יאפה,תאפה,יאפו,תאפינה,אפה,אפי,אפו,אפינה,לאפות,-1-2-100-133-,"2,3,4,5,6,7,8,9,10,12,13,14,17,18,19,22,23,25,26,27,28",OK,Duolingo
לבש,pa'al,wear,,לובש,לובשת,לובשים,לובשות,לבשתי,לבשנו,לבשת,לבשת,לבשתם,לבשתן,לבש,לבשה,לבשו,אלבש,נלבש,תלבש,תלבשי,תלבשו,תלבשנה,ילבש,תלבש,ילבשו,תלבשנה,לבש,לבשי,לבשו,לבשנה,ללבוש,-1-2-,,OK,Duolingo
נעל,pa'al,wear shoes,,נועל,נועלת,נועלים,נועלות,נעלתי,נעלנו,נעלת,נעלת,נעלתם,נעלתן,נעל,נעלה,נעלו,אנעול,ננעול,תנעול,תנעלי,תנעלו,תנעולנה,ינעול,תנעול,ינעלו,תנעולנה,נעול,נעלי,נעלו,נעולנה,לנעול,-1-2-1008-,"14,15,16,19,20,21,23,24,27",OK,Duolingo
חבש,pa'al,wear hat,,חובש,חובשת,חובשים,חובשות,חבשתי,חבשנו,חבשת,חבשת,חבשתם,חבשתן,חבש,חבשה,חבשו,אחבוש,נחבוש,תחבוש,תחבשי,תחבשו,תחבושנה,יחבוש,תחבוש,יחבשו,תחבושנה,חבוש,חבשי,חבשו,חבושנה,לחבוש,-1-2-1008-,"14,15,16,19,20,21,23,24,27",OK,Duolingo
ענד,pa'al,wear ring,,עונד,עונדת,עונדים,עונדות,ענדתי,ענדנו,ענדת,ענדת,ענדתם,ענדתן,ענד,ענדה,ענדו,אענוד,נענוד,תענוד,תענדי,תענדו,תענודנה,יענוד,תענוד,יענדו,תענודנה,ענוד,ענדי,ענדו,ענודנה,לענוד,-1-2-1008-,"14,15,16,19,20,21,23,24,27",OK,Duolingo
שים,pa'al,put,את,שם,שמה,שמים,שמות,שמתי,שמנו,שמת,שמת,שמתם,שמתן,שם,שמה,שמו,אשים,נשים,תשים,תשימי,תשימו,תשמנה,ישים,תשים,ישימו,תשמנה,שים,שימי,שימו,שמנה,לשים,-1-2-103-,"1,2,3,4,5,6,7,8,9,10,11,12,13,19,23,27,28",OK,Duolingo
רכב,hiph'il,wear glasses,,מרכיב,מרכיבה,מרכיבים,מרכיבות,הרכבתי,הרכבנו,הרכבת,הרכבת,הרכבתם,הרכבתן,הרכיב,הרכיבה,הרכיבו,ארכיב,נרכיב,תרכיב,תרכיבי,תרכיבו,תרכבנה,ירכיב,תרכיב,ירכיבו,תרכבנה,הרכב,הרכיבי,הרכיבו,הרכבנה,להרכיב,-1-4-,,OK,Duolingo
גרב,pa'al,wear socks,,גורב,גורבת,גורבים,גורבות,גרבתי,גרבנו,גרבת,גרבת,גרבתם,גרבתן,גרב,גרבה,גרבו,אגרוב,נגרוב,תגרוב,תגרבי,תגרבו,תגרובנה,יגרוב,תגרוב,יגרבו,תגרובנה,גרוב,גרבי,גרבו,גרובנה,לגרוב,-1-2-1008-,"14,15,16,19,20,21,23,24,27",OK,Duolingo
צבע,pa'al,paint,,צובע,צובעת,צובעים,צובעות,צבעתי,צבענו,צבעת,צבעת,צבעתם,צבעתן,צבע,צבעה,צבעו,אצבע,נצבע,תצבע,תצבעי,תצבעו,תצבענה,יצבע,תצבע,יצבעו,תצבענה,צבע,צבעי,צבעו,צבענה,לצבוע,-1-2-,,OK,Duolingo
ספר,pa'al,count,,סופר,סופרת,סופרים,סופרות,ספרתי,ספרנו,ספרת,ספרת,ספרתם,ספרתן,ספר,ספרה,ספרו,אספור,נספור,תספור,תספרי,תספרו,תספורנה,יספור,תספור,יספרו,תספורנה,ספור,ספרי,ספרו,ספורנה,לספור,-1-2-1008-,"14,15,16,19,20,21,23,24,27",OK,Duolingo
שאל,pa'al,ask,את (to),שואל,שואלת,שואלים,שואלות,שאלתי,שאלנו,שאלת,שאלת,שאלתם,שאלתן,שאל,שאלה,שאלו,אשאל,נשאל,תשאל,תשאלי,תשאלו,תשאלנה,ישאל,תשאל,ישאלו,תשאלנה,שאל,שאלי,שאלו,שאלנה,לשאול,-1-2-,,OK,Duolingo
ענה,pa'al,answer,על question / ל person,עונה,עונה,עונים,עונות,עניתי,ענינו,ענית,ענית,עניתם,עניתן,ענה,ענתה,ענו,אענה,נענה,תענה,תעני,תענו,תענינה,יענה,תענה,יענו,תענינה,ענה,עני,ענו,ענינה,לענות,-1-2-100-,"2,3,4,5,6,7,8,9,10,12,13,17,18,19,22,23,25,26,27,28",OK,Duolingo
למד,pa'al,"learn, study",את,לומד,לומדת,לומדים,לומדות,למדתי,למדנו,למדת,למדת,למדתם,למדתן,למד,למדה,למדו,אלמד,נלמד,תלמד,תלמדי,תלמדו,תלמדנה,ילמד,תלמד,ילמדו,תלמדנה,למד,למדי,למדו,למדנה,ללמוד,-1-2-,,OK,Duolingo
למד,pi'el,teach,את,מלמד,מלמדת,מלמדים,מלמדות,לימדתי,לימדנו,לימדת,לימדת,לימדתם,לימדתן,לימד,לימדה,לימדו,אלמד,נלמד,תלמד,תלמדי,תלמדו,תלמדנה,ילמד,תלמד,ילמדו,תלמדנה,למד,למדי,למדו,למדנה,ללמד,-1-3-,,OK,Duolingo
תרגל,pi'el,practice,,מתרגל,מתרגלת,מתרגלים,מתרגלות,תירגלתי,תירגלנו,תירגלת,תירגלת,תירגלתם,תירגלתן,תירגל,תירגלה,תירגלו,אתרגל,נתרגל,תתרגל,תתרגלי,תתרגלו,תתרגלנה,יתרגל,תתרגל,יתרגלו,תתרגלנה,תרגל,תרגלי,תרגלו,תרגלנה,לתרגל,-1-3-,,OK,Duolingo
טיל,pi'el,travel,,מטייל,מטיילת,מטיילים,מטיילות,טיילתי,טיילנו,טיילת,טיילת,טיילתם,טיילתן,טייל,טיילה,טיילו,אטייל,נטייל,תטייל,תטיילי,תטיילו,תטיילנה,יטייל,תטייל,יטיילו,תטיילנה,טייל,טיילי,טיילו,טיילנה,לטייל,-1-3-106-,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",OK,Duolingo
רכב,pa'al,ride,,רוכב,רוכבת,רוכבים,רוכבות,רכבתי,רכבנו,רכבת,רכבת,רכבתם,רכבתן,רכב,רכבה,רכבו,ארכב,נרכב,תרכב,תרכבי,תרכבו,תרכבנה,ירכב,תרכב,ירכבו,תרכבנה,רכב,רכבי,רכבו,רכבנה,לרכוב,-1-2-,,OK,Duolingo
